,t_tweets_today,t_retweets_today,t_replies_today,t_likes_today,t_quotes_today,t_unique_tweeters_today,t_unique_verified_tweeters_today,t_followers_today,t_sent_str_pos_today,t_sent_weak_pos_today,t_sent_neutral_today,t_sent_weak_neg_today,t_sent_str_neg_today,t_tweets_ytd,t_retweets_ytd,t_replies_ytd,t_likes_ytd,t_quotes_ytd,t_unique_tweeters_ytd,t_unique_verified_tweeters_ytd,t_followers_ytd,t_sent_str_pos_ytd,t_sent_weak_pos_ytd,t_sent_neutral_ytd,t_sent_weak_neg_ytd,t_sent_str_neg_ytd,t_tweets_%_change_day,t_retweets_%_change_day,t_replies_%_change_day,t_likes_%_change_day,t_quotes_%_change_day,t_unique_tweeters_%_change_day,t_unique_verified_tweeters_%_change_day,t_followers_%_change_day,t_sent_str_pos_%_change_day,t_sent_weak_pos_%_change_day,t_sent_neutral_%_change_day,t_sent_weak_neg_%_change_day,t_sent_str_neg_%_change_day,one_day_volume_today,one_day_volume_ytd,one_day_volume_%_change_day,one_day_change_today,one_day_change_ytd,one_day_change_%_change_day,one_day_sales_today,one_day_sales_ytd,one_day_sales_%_change_day,one_day_average_price_today,one_day_average_price_ytd,one_day_average_price_%_change_day,seven_day_volume_today,seven_day_volume_ytd,seven_day_volume_%_change_day,seven_day_change_today,seven_day_change_ytd,seven_day_change_%_change_day,seven_day_sales_today,seven_day_sales_ytd,seven_day_sales_%_change_day,seven_day_average_price_today,seven_day_average_price_ytd,seven_day_average_price_%_change_day,thirty_day_volume_today,thirty_day_volume_ytd,thirty_day_volume_%_change_day,thirty_day_change_today,thirty_day_change_ytd,thirty_day_change_%_change_day,thirty_day_sales_today,thirty_day_sales_ytd,thirty_day_sales_%_change_day,thirty_day_average_price_today,thirty_day_average_price_ytd,thirty_day_average_price_%_change_day,total_volume_today,total_volume_ytd,total_volume_%_change_day,total_sales_today,total_sales_ytd,total_sales_%_change_day,total_supply_today,total_supply_ytd,total_supply_%_change_day,count_today,count_ytd,count_%_change_day,num_owners_today,num_owners_ytd,num_owners_%_change_day,average_price_today,average_price_ytd,average_price_%_change_day,num_reports_today,num_reports_ytd,num_reports_%_change_day,market_cap_today,market_cap_ytd,market_cap_%_change_day,floor_price_today,floor_price_ytd,floor_price_%_change_day,next_day_average_price,g_nft_today,g_nft_ytd,g_nft_%_change_day,g_ethereum_today,g_ethereum_ytd,g_ethereum_%_change_day,g_recession_today,g_recession_ytd,g_recession_%_change_day,g_bitcoin_today,g_bitcoin_ytd,g_bitcoin_%_change_day,g_gold_today,g_gold_ytd,g_gold_%_change_day,g_fixed deposit_today,g_fixed deposit_ytd,g_fixed deposit_%_change_day,g_opensea_today,g_opensea_ytd,g_opensea_%_change_day,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,count,num_owners,average_price,num_reports,market_cap,floor_price
goblintownwtf_2022-08-10,92,73,40,561,5,88,0,314886,9,11,21,48,3,61,633,295,976,16,54,0,200258,12,12,26,7,4,91.0,72.0,39.0,560.0,4.0,87.0,0.0,314885.0,8.0,10.0,20.0,47.0,2.0,168.9928999999999,155.06750000000014,0.08980218292033958,1.2175334218634346,3.1390903147117752,-0.612138135638437,90.0,82.0,0.0975609756097561,1.877698888888888,1.8910670731707333,-0.007069122228134978,634.8500348999999,595.7861349000001,0.06556698404295101,-0.2029775020079713,-0.2762543010746443,-0.26525125140720807,321.0,296.0,0.08445945945945946,1.9777259654205603,2.012790996283784,-0.017421098826437737,4071.027734928196,4084.544134928198,-0.003309157534722012,-0.5544509883518118,-0.5642085619943398,-0.017294267226355613,1408.0,1393.0,0.010768126346015794,2.891354925375139,2.9321924873856413,-0.013927312816667559,46564.71431985193,46481.73141985196,0.0017852798823352843,29293.0,29249.0,0.001504324934185784,9999.0,9999.0,0.0,9999.0,9999.0,0.0,4502,4504,-0.0004440497335701599,1.5896191690797097,1.5891733536138657,0.00028053293545992464,1,1,0.0,19775.281928240183,20125.89717184156,-0.017421098826437772,1.678,1.6,0.048749999999999905,1.5279885000000006,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,155.06750000000014,3.1390903147117752,82.0,1.8910670731707333,595.7861349000001,-0.2762543010746443,296.0,2.012790996283784,4084.544134928198,-0.5642085619943398,1393.0,2.9321924873856413,46481.73141985196,29249.0,9999.0,9999.0,4504,1.5891733536138657,1,20125.89717184156,1.6
clonex_2022-08-10,716,6384,6145,8882,89,517,1,1073382,99,79,504,25,9,1539,5032,5496,8255,105,1396,3,1350588,88,64,1332,41,14,715.0,6383.0,6144.0,8881.0,88.0,516.0,0.0,1073381.0,98.0,78.0,503.0,24.0,8.0,223.371,124.07,0.8003626984766665,1.1659147038546458,0.5721142637026223,1.0379053238579512,21.0,12.0,0.75,10.636714285714286,10.339166666666666,0.028778684843809473,888.3059000000002,829.6549,0.07069324848198953,0.0921942417746577,0.0257488834449991,2.580514159831015,89.0,83.0,0.07228915662650602,9.980965168539328,9.9958421686747,-0.0014883188314032095,4742.298519979,4691.427519978998,0.010843394634865774,-0.6043987271554471,-0.6174035225504211,-0.02106368836584012,435.0,427.0,0.01873536299765808,10.901835678112644,10.986949695501169,-0.007746828714741169,224034.18704952172,223867.4960495215,0.00074459670538036,18120.0,18104.0,0.0008837825894829872,19357.0,19357.0,0.0,19357.0,19357.0,0.0,9476,9473,0.0003166895386889053,12.3639176075895,12.365637209982406,-0.0001390629826596005,1,1,0.0,193201.54276741575,193489.5168590361,-0.001488318831402935,8.41,8.1,0.03827160493827167,10.161542857142855,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,124.07,0.5721142637026223,12.0,10.339166666666666,829.6549,0.0257488834449991,83.0,9.9958421686747,4691.427519978998,-0.6174035225504211,427.0,10.986949695501169,223867.4960495215,18104.0,19357.0,19357.0,9473,12.365637209982406,1,193489.5168590361,8.1
subwayrats_2022-08-10,9,2,5,12,0,9,0,3705,2,3,2,2,0,9,0,5,14,7,7,0,11224,4,0,3,2,0,8.0,1.0,4.0,11.0,-1.0,8.0,0.0,3704.0,1.0,1.0,1.0,1.0,0.0,2.6549049887888803,3.5789289998999974,-0.25818450467638115,-0.2873367724598601,-0.3386142250030252,-0.15143324986629536,166.0,174.0,-0.04597701149425287,0.0159934035469209,0.0205685574706896,-0.22243436032343733,189.40517004556503,251.0469839566668,-0.24553895426101496,-0.576825818536589,-0.3460050207266563,0.6671024522279432,3896.0,4590.0,-0.15119825708061002,0.0486152900527631,0.054694332016703,-0.11114573923461453,636.9872257148506,634.9138207259617,0.0032656479055979204,0.0,0.0,0.0,12495.0,12364.0,0.010595276609511485,0.05097936980511,0.0513518133877355,-0.007252783456999559,636.9872257148506,634.9138207259617,0.0032656479055979204,12495.0,12364.0,0.010595276609511485,10000.0,10000.0,0.0,10000.0,10000.0,0.0,3361,3406,-0.013211978860833822,0.05097936980511,0.0513518133877355,-0.007252783456999559,1,1,0.0,486.1529005276311,546.94332016703,-0.11114573923461438,0.01,0.0126,-0.20634920634920634,0.016738034096328,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,3.5789289998999974,-0.3386142250030252,174.0,0.0205685574706896,251.0469839566668,-0.3460050207266563,4590.0,0.054694332016703,634.9138207259617,0.0,12364.0,0.0513518133877355,634.9138207259617,12364.0,10000.0,10000.0,3406,0.0513518133877355,1,546.94332016703,0.0126
moonbirds-oddities_2022-08-10,58,8,27,97,2,46,0,113107,13,9,27,7,2,64,16,29,181,6,53,0,163898,19,14,24,4,3,57.0,7.0,26.0,96.0,1.0,45.0,0.0,113106.0,12.0,8.0,26.0,6.0,1.0,82.66180000000003,46.2066,0.7889608843758257,0.7768821191426619,0.3526839036042997,1.2027716921674412,103.0,49.0,1.1020408163265305,0.8025417475728158,0.9429918367346938,-0.14894093850082069,372.8193499800003,343.25805997999987,0.08611972578800581,-0.1090690228936565,-0.1966447035383034,-0.4453498063709023,370.0,316.0,0.17088607594936708,1.0076198648108117,1.0862596834810123,-0.07239504500267616,6278.897719450288,6246.673219450279,0.005158665879891228,0.8097416522191204,0.7874620894241166,0.028292870341602435,2889.0,2811.0,0.02774813233724653,2.1733810036172683,2.222224553344105,-0.021979574320396506,14543.217463000214,14474.512963000208,0.004746584577707583,5484.0,5396.0,0.01630837657524092,10000.0,10000.0,0.0,10000.0,10000.0,0.0,6214,6210,0.0006441223832528181,2.6519360800510965,2.682452365270609,-0.011376263606617268,1,1,0.0,10076.198648108117,10862.596834810123,-0.07239504500267617,0.738,0.9,-0.18000000000000002,0.8903814142857146,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,46.2066,0.3526839036042997,49.0,0.9429918367346938,343.25805997999987,-0.1966447035383034,316.0,1.0862596834810123,6246.673219450279,0.7874620894241166,2811.0,2.222224553344105,14474.512963000208,5396.0,10000.0,10000.0,6210,2.682452365270609,1,10862.596834810123,0.9
women-ape-yacht-club_2022-08-10,2828,3864,1614,647,507,2806,0,972794,2820,0,8,0,0,25,9264,178,9198,30,15,0,321375,4,4,16,1,0,2827.0,3863.0,1613.0,646.0,506.0,2805.0,0.0,972793.0,2819.0,-1.0,7.0,-1.0,0.0,7.453336198999994,188.40995800000007,-0.9604408584444353,-0.9597837849826576,4.993026635941414,-1.1922248477654465,162.0,224.0,-0.2767857142857143,0.0460082481419752,0.8411158839285717,-0.945300940071318,471.7978790990002,467.8784829000003,0.008376953295023915,0.0,0.0,0.0,745.0,661.0,0.12708018154311648,0.6332857437570473,0.7078343160363091,-0.10531924009662987,471.7978790990002,467.8784829000003,0.008376953295023915,0.0,0.0,0.0,745.0,661.0,0.12708018154311648,0.6332857437570473,0.7078343160363091,-0.10531924009662987,471.7978790990002,467.8784829000003,0.008376953295023915,745.0,661.0,0.12708018154311648,2048.0,1906.0,0.07450157397691501,2048.0,1906.0,0.07450157397691501,641,577,0.11091854419410745,0.6332857437570473,0.7078343160363091,-0.10531924009662987,1,1,0.0,1296.9692032144328,1349.132206365205,-0.03866411527696638,0.035,0.0419,-0.16467780429594264,0.0338195808654384,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,188.40995800000007,4.993026635941414,224.0,0.8411158839285717,467.8784829000003,0.0,661.0,0.7078343160363091,467.8784829000003,0.0,661.0,0.7078343160363091,467.8784829000003,661.0,1906.0,1906.0,577,0.7078343160363091,1,1349.132206365205,0.0419
MV3_2022-08-10,179,261,146,1021,17,65,0,126009,23,12,137,6,1,212,393,148,1352,68,71,0,237322,18,13,173,6,2,178.0,260.0,145.0,1020.0,16.0,64.0,0.0,126008.0,22.0,11.0,136.0,5.0,0.0,34.33808990000001,51.40919000000005,-0.3320631992062125,-0.7035001662788266,-0.7415554670579871,-0.051318212149577117,126.0,176.0,-0.2840909090909091,0.2725245230158731,0.2920976704545457,-0.06700891317693153,348.556377788999,330.9235378889992,0.053283728357558936,7.013311804200694,6.490454320136262,0.08055791756245735,1073.0,1006.0,0.06660039761431412,0.3248428497567558,0.328949838855864,-0.012485153096268065,457.4567357768885,438.2600958768887,0.0438019342408766,1.7828516797294591,1.629253057823847,0.0942754848106714,1337.0,1266.0,0.05608214849921011,0.342151634836865,0.3461770109612075,-0.011628086201234166,1832.0933743029384,1812.3627344029392,0.010886694768914044,2737.0,2665.0,0.02701688555347092,6501.0,6501.0,0.0,6501.0,6501.0,0.0,2858,2888,-0.01038781163434903,0.6693801148348332,0.6800610635658308,-0.01570586716874101,1,1,0.0,2111.8033662686694,2138.502902401972,-0.01248515309626817,0.2773,0.264,0.050378787878787794,0.3050542894736843,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,51.40919000000005,-0.7415554670579871,176.0,0.2920976704545457,330.9235378889992,6.490454320136262,1006.0,0.328949838855864,438.2600958768887,1.629253057823847,1266.0,0.3461770109612075,1812.3627344029392,2665.0,6501.0,6501.0,2888,0.6800610635658308,1,2138.502902401972,0.264
boredapeyachtclub_2022-08-10,3580,10281,9499,29764,1360,1918,12,7146568,894,718,1568,293,107,4288,18530,7969,48907,4244,2363,14,11352285,1074,642,2060,373,139,3579.0,10280.0,9498.0,29763.0,1359.0,1917.0,11.0,7146567.0,893.0,717.0,1567.0,292.0,106.0,85.0,526.403,-0.8385267561165115,-0.8385267561165115,0.0,1.0,1.0,6.0,-0.8333333333333334,85.0,87.73383333333334,-0.031160536699069,2615.49301,2725.1797100000003,-0.040249345611046025,-0.0088537130828426,0.0813046700603694,-1.1088955047264646,30.0,31.0,-0.03225806451612903,87.18310033333334,87.90902290322582,-0.00825765713141418,13281.113766470004,13315.722787360004,-0.002599109446980467,-0.6459807778319551,-0.6488857498028464,-0.004476862023513346,138.0,138.0,0.0,96.2399548294928,96.49074483594204,-0.002599109446980026,646575.1872103465,646610.9304715367,-5.527784871218027e-05,26902.0,26901.0,3.717333928106762e-05,10000.0,10000.0,0.0,10000.0,10000.0,0.0,6444,6443,0.0001552072016141549,24.034465363554624,24.03668750126526,-9.24477514016246e-05,2,1,1.0,871831.0033333334,879090.2290322582,-0.008257657131414168,84.0,84.4737,-0.0056076625032405805,119.44,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,526.403,0.0,6.0,87.73383333333334,2725.1797100000003,0.0813046700603694,31.0,87.90902290322582,13315.722787360004,-0.6488857498028464,138.0,96.49074483594204,646610.9304715367,26901.0,10000.0,10000.0,6443,24.03668750126526,1,879090.2290322582,84.4737
bored-and-dangerous_2022-08-10,15,117,67,580,7,13,1,110359,2,2,3,4,4,18,53,33,253,7,17,1,148607,0,0,1,5,12,14.0,116.0,66.0,579.0,6.0,12.0,0.0,110358.0,1.0,1.0,2.0,3.0,3.0,28.134018,23.8869,0.17780113786217552,0.8348791161489348,-0.1028832395037991,-9.114821424514979,51.0,45.0,0.13333333333333333,0.5516474117647059,0.53082,0.039236298113684356,302.3131241937025,291.0892061937024,0.03855834486879338,2.344541588229645,1.9375350939845517,0.2100640631019912,550.0,531.0,0.035781544256120526,0.5496602258067319,0.5481905954683661,0.002680874773326143,1657.3904716021327,1644.219553602133,0.008010437517997605,0.0,0.0,0.0,4422.0,4398.0,0.005457025920873124,0.3748056245142769,0.3738561968172199,0.002539553189541501,1657.3904716021327,1644.219553602133,0.008010437517997605,4422.0,4398.0,0.005457025920873124,14787.0,14787.0,0.0,14787.0,14787.0,0.0,3789,3784,0.001321353065539112,0.3748056245142769,0.3738561968172199,0.002539553189541501,1,1,0.0,8127.825759004145,8106.09433519073,0.0026808747733261637,0.55,0.59,-0.0677966101694914,0.5114156843137255,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,23.8869,-0.1028832395037991,45.0,0.53082,291.0892061937024,1.9375350939845517,531.0,0.5481905954683661,1644.219553602133,0.0,4398.0,0.3738561968172199,1644.219553602133,4398.0,14787.0,14787.0,3784,0.3738561968172199,1,8106.09433519073,0.59
rags-to-richie-by-alec-monopoly_2022-08-10,2,0,0,4,0,2,0,47,1,0,1,0,0,4,1,0,9,5,4,0,58279,3,1,0,0,0,1.0,-1.0,0.0,3.0,-1.0,1.0,0.0,46.0,0.0,-1.0,1.0,0.0,0.0,26.483101,28.46020100000001,-0.0694689401526014,0.1365625582908682,-0.2002009553355574,-1.6821274057457682,37.0,47.0,-0.2127659574468085,0.7157594864864866,0.6055361914893619,0.18202594088723614,270.90677878999884,294.2078777899991,-0.0791994394406808,-0.5423677401155201,-0.5516115121835199,-0.016757757704165488,304.0,338.0,-0.10059171597633136,0.8911407197039436,0.8704375082544352,0.023784833779769372,1338.979814285333,1326.706714285333,0.00925080115133913,0.0,0.0,0.0,1611.0,1597.0,0.008766437069505322,0.8311482397798468,0.830749351462325,0.0004801548346918723,1338.979814285333,1326.706714285333,0.00925080115133913,1611.0,1597.0,0.008766437069505322,3333.0,3333.0,0.0,3333.0,3333.0,0.0,1650,1648,0.0012135922330097086,0.8311482397798468,0.830749351462325,0.0004801548346918723,1,7,-0.8571428571428571,2970.172018773244,2901.1682150120323,0.023784833779769463,0.3743,0.38,-0.014999999999999954,0.6070949122807017,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,28.46020100000001,-0.2002009553355574,47.0,0.6055361914893619,294.2078777899991,-0.5516115121835199,338.0,0.8704375082544352,1326.706714285333,0.0,1597.0,0.830749351462325,1326.706714285333,1597.0,3333.0,3333.0,1648,0.830749351462325,7,2901.1682150120323,0.38
degods_2022-08-10,619,1508,1271,5618,88,489,2,4561907,172,119,235,57,36,761,4432,2566,12073,148,591,2,2372063,251,147,267,66,30,618.0,1507.0,1270.0,5617.0,87.0,488.0,1.0,4561906.0,171.0,118.0,234.0,56.0,35.0,25.0616724,48.5579189664,-0.4838808389350128,-0.1835205992509364,-0.487901756889504,-0.6238574740518947,3.0,6.0,-0.5,8.3538908,8.0929864944,0.032238322129974524,324.96557804388004,471.4563183747599,-0.31071964595972307,-0.3950050018042453,0.0128558684939022,-31.725656690685987,42.0,61.0,-0.3114754098360656,7.73727566771143,7.72879210450426,0.0010976570584976242,1366.947930278592,1412.6818013773448,-0.03237379504299055,-0.2517156398146646,-0.2893811399740081,-0.13015879391008886,198.0,198.0,0.0,6.903777425649454,7.134756572612853,-0.03237379504299057,17026.908040614446,17615.71344323593,-0.03342501026250368,6594.0,6591.0,0.0004551661356395084,10000.0,9998.0,0.00020004000800160032,10000.0,9998.0,0.00020004000800160032,4220,4216,0.0009487666034155598,2.582181989780777,2.672692071496879,-0.033864762305150446,1,1,0.0,77372.7566771143,77272.46346083359,0.0012979166418260583,,,,6.8438396875,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,48.5579189664,-0.487901756889504,6.0,8.0929864944,471.4563183747599,0.0128558684939022,61.0,7.72879210450426,1412.6818013773448,-0.2893811399740081,198.0,7.134756572612853,17615.71344323593,6591.0,9998.0,9998.0,4216,2.672692071496879,1,77272.46346083359,
sandbox_2022-08-10,15,894,276,926,5,15,0,110037,2,1,12,0,0,10,1685,313,1209,7,8,0,157919,1,1,8,0,0,14.0,893.0,275.0,925.0,4.0,14.0,0.0,110036.0,1.0,0.0,11.0,0.0,0.0,34.52599998,52.62220353092593,-0.3438891254390523,-0.1988619612263132,0.5922002860190257,-1.335801866228623,22.0,32.0,-0.3125,1.5693636354545455,1.6444438603414353,-0.04565690972953065,259.7959137619258,255.58393304192583,0.016479833727689974,-0.2762294603504253,-0.306809987165234,-0.09967252727773633,154.0,150.0,0.02666666666666667,1.6869864529995182,1.7038928869461722,-0.009922239875626715,1716.8267868419284,1741.7944771119285,-0.01433446402436584,-0.4266406949788928,-0.4156851102426815,0.026355489927977663,733.0,742.0,-0.012129380053908356,2.34219206936143,2.3474319098543512,-0.0022321586713227154,161026.412334188,162467.99981987785,-0.008873054923357696,90423.0,90411.0,0.00013272721239672165,164413.0,164211.0,0.0012301246566916954,164413.0,164211.0,0.0012301246566916954,21717,21717,0.0,1.7808125403292083,1.796993726646955,-0.009004586982025447,1,1,0.0,277362.5036970098,279797.9548583179,-0.008704320810855619,1.597,1.49,0.07181208053691274,2.830230769230769,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,52.62220353092593,0.5922002860190257,32.0,1.6444438603414353,255.58393304192583,-0.306809987165234,150.0,1.7038928869461722,1741.7944771119285,-0.4156851102426815,742.0,2.3474319098543512,162467.99981987785,90411.0,164211.0,164211.0,21717,1.796993726646955,1,279797.9548583179,1.49
my-beautiful-dark-twisted-fantasy-by-beeble_2022-08-10,53,2873,567,21512,160,39,1,762509,39,4,8,2,0,56,4,48,190,1,52,1,114662,43,5,4,4,0,52.0,2872.0,566.0,21511.0,159.0,38.0,0.0,762508.0,38.0,3.0,7.0,1.0,0.0,4.830879000000001,7.52780898998,-0.35826227705429115,-0.667233185532697,-0.9106722724376088,-0.2673179960264906,73.0,104.0,-0.2980769230769231,0.0661764246575342,0.0723827787498077,-0.08574351799515545,290.74446806865853,287.01208806865867,0.013004260639736571,0.0,0.0,0.0,1884.0,1830.0,0.029508196721311476,0.1543229660661669,0.1568372065948954,-0.016030893327644298,290.74446806865853,287.01208806865867,0.013004260639736571,0.0,0.0,0.0,1884.0,1830.0,0.029508196721311476,0.1543229660661669,0.1568372065948954,-0.016030893327644298,290.74446806865853,287.01208806865867,0.013004260639736571,1884.0,1830.0,0.029508196721311476,1000.0,1000.0,0.0,1000.0,1000.0,0.0,587,593,-0.01011804384485666,0.1543229660661669,0.1568372065948954,-0.016030893327644298,1,1,0.0,154.32296606616694,156.83720659489543,-0.016030893327644385,0.06,0.06,0.0,0.0559366063333333,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,7.52780898998,-0.9106722724376088,104.0,0.0723827787498077,287.01208806865867,0.0,1830.0,0.1568372065948954,287.01208806865867,0.0,1830.0,0.1568372065948954,287.01208806865867,1830.0,1000.0,1000.0,593,0.1568372065948954,1,156.83720659489543,0.06
doodles-official_2022-08-10,44,1,7,11,6,6,0,33134,0,26,18,0,0,33,4,5,33,8,6,0,5161,1,26,6,0,0,43.0,0.0,6.0,10.0,5.0,5.0,0.0,33133.0,-1.0,25.0,17.0,0.0,0.0,112.19000000000004,26.89,3.1721829676459663,3.1567247128566143,-0.6243891434109055,-6.0557008336373315,13.0,3.0,3.3333333333333335,8.630000000000003,8.963333333333333,-0.037188545927853894,509.44504999,406.1550499900001,0.254311746222392,-0.0121322086326463,-0.3546186405461359,-0.9657880121192673,53.0,41.0,0.2926829268292683,9.612170754528302,9.906220731463415,-0.02968336612984742,2855.31954724,2902.2764472400004,-0.01617933399992118,-0.7095086968052368,-0.7015694028096843,0.01131647697826724,241.0,239.0,0.008368200836820083,11.84779895120332,12.143416097238497,-0.02434382085469363,144888.3343591851,144785.04435918512,0.0007134024129159053,23403.0,23391.0,0.0005130178273695011,10000.0,10000.0,0.0,10000.0,10000.0,0.0,5238,5234,0.0007642338555598013,6.191015440720639,6.189775741062165,0.00020028183739345578,1,1,0.0,96121.70754528302,99062.20731463416,-0.02968336612984747,8.83,9.0,-0.018888888888888882,9.137533333333332,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,26.89,-0.6243891434109055,3.0,8.963333333333333,406.1550499900001,-0.3546186405461359,41.0,9.906220731463415,2902.2764472400004,-0.7015694028096843,239.0,12.143416097238497,144785.04435918512,23391.0,10000.0,10000.0,5234,6.189775741062165,1,99062.20731463416,9.0
ladyapeclub5668_2022-08-10,7,0,1,4,0,3,0,27572,0,0,6,1,0,9,0,1,3,1,3,0,27577,1,0,8,0,0,6.0,0.0,0.0,3.0,-1.0,2.0,0.0,27571.0,-1.0,0.0,5.0,1.0,0.0,201.5492,166.65020000000007,0.2094146901713885,0.118288232653702,-0.0499498323945905,-3.3681407320700534,43.0,50.0,-0.14,4.687190697674418,3.333004000000001,0.40629615136207947,1354.4644000000003,1379.1491999999996,-0.017898571090059958,-0.1229868879694269,-0.0863217284896267,0.42475006144259797,337.0,354.0,-0.0480225988700565,4.019182195845699,3.895901694915253,0.03164363748996677,4204.900917092838,4128.37091709284,0.018537578511450842,0.0,0.0,0.0,1725.0,1713.0,0.0070052539404553416,2.43762372005382,2.4100238862188204,0.011452099704415,4204.900917092838,4128.37091709284,0.018537578511450842,1725.0,1713.0,0.0070052539404553416,700.0,700.0,0.0,700.0,700.0,0.0,426,419,0.016706443914081145,2.43762372005382,2.4100238862188204,0.011452099704415,1,1,0.0,2813.4275370919886,2727.131186440677,0.03164363748996668,0.74999,0.7,0.07141428571428585,4.779863725294119,96.04,100.0,-0.03959999999999994,65.61,53.29,0.23118784012009758,9.61,14.44,-0.3344875346260388,88.36,77.44,0.1410123966942149,82.81,84.64,-0.021620982986767467,53.29,51.84,0.027970679012345595,90.25,81.0,0.11419753086419752,166.65020000000007,-0.0499498323945905,50.0,3.333004000000001,1379.1491999999996,-0.0863217284896267,354.0,3.895901694915253,4128.37091709284,0.0,1713.0,2.4100238862188204,4128.37091709284,1713.0,700.0,700.0,419,2.4100238862188204,1,2727.131186440677,0.7
